name,Less than 10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,Above 80
CA,5038433,5170341,5809455,5354112,5179258,5042094,3737461,2011678,1311374
FL,2211012,2331102,2597830,2416176,2575576,2762983,2404659,1615547,1019566
GA,1363631,1421557,1418696,1357210,1404698,1337985,998253,528108,269182
IL,1619682,1715984,1789739,1721954,1697069,1773366,1326121,728821,478948
MI,1181424,1324071,1338179,1162186,1283122,1454462,1148131,619722,398303
NJ,1079136,1153625,1139927,1143452,1254602,1307263,946399,523620,367432
NY,2319945,2445591,2894266,2605355,2617327,2755620,2095207,1160055,804091
NC,1250298,1310398,1350242,1268976,1357746,1356117,1095320,609234,342497
OH,1422838,1530264,1535538,1398724,1490959,1677794,1320776,728158,481890
PA,1458931,1608018,1712448,1520409,1645291,1881378,1491536,850897,615069
VA,1033629,1065461,1170634,1112111,1134928,1162028,881763,475141,274606
